wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,p_h,sulphates,alcohol,quality,region
77,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,4.64,Spain
78,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6.42,Spain
79,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5.49,USA
80,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,3.86,Spain
81,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5.4,France
82,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5.14,Italy
83,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5.32,Australia
84,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5.36,USA
85,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,5.97,Spain
86,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5.38,USA
87,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,5.98,USA
88,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,4.88,Italy
89,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,4.75,Italy
90,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,4.84,Australia
91,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5.21,Italy
92,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6.16,Australia
93,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5.47,USA
94,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,4.76,Italy
95,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,3.8,France
96,4.7,0.6,0.17,2.3,0.05799999999999999,17,106,0.9932,3.85,0.6,12.9,6.33,Australia
97,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5.04,USA
98,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5.2,Australia
99,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5.2,France
100,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,5.92,USA
101,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,5.71,Spain
102,7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,5.66,Italy
103,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,5.82,France
104,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,4.91,France
105,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,4.96,Australia
106,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5.42,Australia
107,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,4.78,France
108,6.2,0.63,0.31,1.7,0.08800000000000001,15,64,0.9969,3.46,0.79,9.3,5.09,USA
109,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,5.78,Australia
110,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5.1,Australia
111,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,4.78,Australia
112,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5.22,France
113,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5.5,USA
114,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6.44,France
115,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5.13,Spain
116,9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6.3,Australia
117,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,5.85,Australia
118,7.8,0.56,0.12,2,0.08199999999999999,7,28,0.997,3.37,0.5,9.4,5.61,Spain
119,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,5.67,Australia
120,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6.45,Australia
121,7.3,1.07,0.09,1.7,0.17800000000000002,10,89,0.9962,3.3,0.57,9,5.47,USA
122,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,5.65,Australia
123,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5.13,Italy
124,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5.2,Italy
125,7.8,0.5,0.17,1.6,0.08199999999999999,21,102,0.996,3.39,0.48,9.5,5.04,France
126,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5.07,Australia
127,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,4.85,Spain
128,8.1,1.33,0,1.8,0.08199999999999999,3,12,0.9964,3.54,0.48,10.9,4.86,Spain
129,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7.15,Spain
130,6.1,0.38,0.15,1.8,0.07200000000000001,6,19,0.9955,3.42,0.57,9.4,5.19,Australia
131,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,4.78,Italy
132,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,4.7,Australia
133,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5.36,Spain
134,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6.25,France
135,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6.05,USA
136,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5.3,USA
137,8.3,0.715,0.15,1.8,0.08900000000000001,10,52,0.9968,3.23,0.77,9.5,4.7,Italy
138,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,4.64,France
139,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5.02,Italy
140,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,4.63,USA
141,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5.23,Spain
142,8.3,0.715,0.15,1.8,0.08900000000000001,10,52,0.9968,3.23,0.77,9.5,4.55,Spain
143,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6.17,Spain
144,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5.1,USA
145,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6.25,USA
146,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,4.59,USA
147,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5.26,France
148,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,4.75,France
149,6.9,0.49,0.1,2.3,0.07400000000000001,12,30,0.9959,3.42,0.58,10.2,6.08,France
150,8.2,0.4,0.44,2.8,0.08900000000000001,11,43,0.9975,3.53,0.61,10.5,6.47,France
151,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6.47,Spain
152,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,3.61,Spain
153,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5.14,Spain
154,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,4.89,Spain
155,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5.0600000000000005,Australia
156,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,4.76,Spain
157,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,4.94,USA
158,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,4.92,Spain
159,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5.34,Australia
160,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,5.82,France
161,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5.37,Australia
162,7.6,0.68,0.02,1.3,0.07200000000000001,9,20,0.9965,3.17,1.08,9.2,3.58,Spain
163,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,5.53,Australia
164,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,4.68,France
165,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,4.69,Australia
166,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5.1,USA
167,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,4.98,USA
168,7.3,0.55,0.03,1.6,0.07200000000000001,17,42,0.9956,3.37,0.48,9,3.88,USA
169,6.8,0.63,0.07,2.1,0.08900000000000001,11,44,0.9953,3.47,0.55,10.4,6.26,Australia
170,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5.21,France
171,7.9,0.885,0.03,1.8,0.05799999999999999,4,8,0.9972,3.36,0.33,9.1,3.93,Spain
172,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6.46,Italy
173,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,5.8,Italy
174,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,5.55,Spain
175,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5.15,Spain
176,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,4.92,France
177,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5.48,USA
178,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,5.64,USA
179,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5.42,Spain
180,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5.49,France
181,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,4.86,France
182,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5.4,France
183,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5.14,Spain
184,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5.32,Spain
185,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6.36,Australia
186,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,4.97,Australia
187,7.4,0.39,0.48,2,0.08199999999999999,14,67,0.9972,3.34,0.55,9.2,5.38,France
188,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,4.98,France
189,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,4.88,Spain
190,7.9,0.49,0.32,1.9,0.08199999999999999,17,144,0.9968,3.2,0.55,9.5,4.75,Italy
191,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,4.84,USA
192,6.4,0.37,0.25,1.9,0.07400000000000001,21,49,0.9974,3.57,0.62,9.8,6.21,Spain
193,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5.16,Australia
194,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5.47,Australia
195,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,4.76,Australia
196,7.8,0.59,0.33,2,0.07400000000000001,24,120,0.9968,3.25,0.54,9.4,4.8,USA
197,7.3,0.58,0.3,2.4,0.07400000000000001,15,55,0.9968,3.46,0.59,10.2,5.33,Australia
198,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6.04,Australia
199,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7.2,France
200,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4.2,France
201,9.6,0.32,0.47,1.4,0.05599999999999999,9,24,0.99695,3.22,0.82,10.3,6.92,Italy
202,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,4.71,Australia
203,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,4.66,Spain
204,7,0.42,0.35,1.6,0.08800000000000001,16,39,0.9961,3.34,0.55,9.2,4.82,Italy
205,7,0.43,0.36,1.6,0.08900000000000001,14,37,0.99615,3.34,0.56,9.2,5.91,Italy
206,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,6.96,Spain
207,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7.42,Spain
208,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,4.78,Australia
209,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5.09,USA
210,11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,6.78,France
211,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6.1,France
212,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,5.78,France
213,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6.22,USA
214,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5.5,France
215,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6.44,Australia
216,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5.13,France
217,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5.3,France
218,8.1,0.725,0.22,2.2,0.07200000000000001,11,41,0.9967,3.36,0.55,9.1,4.85,Spain
219,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,4.61,Australia
220,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,4.67,USA
221,7.8,0.34,0.37,2,0.08199999999999999,24,58,0.9964,3.34,0.59,9.4,6.45,USA
222,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5.47,Australia
223,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,4.65,USA
224,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6.13,France
225,8.4,0.635,0.36,2,0.08900000000000001,15,55,0.99745,3.31,0.57,10.4,4.2,USA
226,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6.04,France
227,8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6.07,France
228,9,0.82,0.14,2.6,0.08900000000000001,9,23,0.9984,3.39,0.63,9.8,4.85,USA
229,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,5.86,Australia
230,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5.15,Spain
231,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7.19,Italy
232,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,5.78,Spain
233,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,5.7,Australia
234,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5.36,USA
235,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6.25,France
236,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6.05,France
237,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6.3,USA
238,7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,5.7,Spain
239,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,5.64,France
240,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6.02,Spain
241,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,4.63,USA
242,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6.23,Australia
243,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,5.55,Australia
244,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7.17,Italy
245,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7.1,USA
246,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6.25,USA
247,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,4.59,Australia
248,8.2,0.6,0.17,2.3,0.07200000000000001,11,73,0.9963,3.2,0.45,9.3,5.26,France
249,7.7,0.53,0.06,1.7,0.07400000000000001,9,39,0.99615,3.35,0.48,9.8,5.75,France
250,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6.08,Spain
251,10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6.47,France
252,7.1,0.6,0,1.8,0.07400000000000001,16,34,0.9972,3.47,0.7,9.9,6.47,Spain
253,11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,4.61,Spain
254,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5.14,France
255,7.1,0.6,0,1.8,0.07400000000000001,16,34,0.9972,3.47,0.7,9.9,5.89,USA
256,8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5.0600000000000005,Spain
257,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,4.76,France
258,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,4.94,Spain
259,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,4.92,Australia
260,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7.34,Australia
261,7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,4.82,Australia
262,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4.37,Australia
263,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,4.58,USA
264,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,4.53,France
265,12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,4.68,Australia
266,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,6.69,Italy
267,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4.1,France
268,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,7.98,Spain
269,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,5.88,France
270,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6.26,Australia
271,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6.21,Spain
272,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,5.93,Spain
273,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5.46,USA
274,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,4.8,USA
275,7.5,0.65,0.18,7,0.08800000000000001,27,94,0.99915,3.38,0.77,9.4,4.55,Italy
