Quarter,Year,Quarter_single,HBName,AdmissionType,SIMD,Episodes,LengthOfEpisode,AverageLengthOfEpisode,Stays,LengthOfStay,AverageLengthOfStay
2018Q4,2018,Q4,NHS Ayrshire and Arran,Elective Inpatients,2,337,1302,3.863501484,352,1772,5.034090909
2019Q1,2019,Q1,NHS Ayrshire and Arran,Elective Inpatients,2,402,927,2.305970149,421,1258,2.988123515
2019Q2,2019,Q2,NHS Ayrshire and Arran,Elective Inpatients,2,354,873,2.466101695,368,1188,3.22826087
2019Q3,2019,Q3,NHS Ayrshire and Arran,Elective Inpatients,2,339,879,2.592920354,362,1086,3
2019Q4,2019,Q4,NHS Ayrshire and Arran,Elective Inpatients,2,326,920,2.82208589,342,1169,3.418128655
2020Q1,2020,Q1,NHS Ayrshire and Arran,Elective Inpatients,2,267,692,2.5917603,283,1195,4.222614841
2020Q2,2020,Q2,NHS Ayrshire and Arran,Elective Inpatients,2,70,267,3.814285714,69,281,4.072463768
2020Q3,2020,Q3,NHS Ayrshire and Arran,Elective Inpatients,2,188,708,3.765957447,200,949,4.745
2020Q4,2020,Q4,NHS Ayrshire and Arran,Elective Inpatients,2,173,551,3.184971098,182,653,3.587912088
2021Q1,2021,Q1,NHS Ayrshire and Arran,Elective Inpatients,2,83,352,4.240963855,86,486,5.651162791
2021Q2,2021,Q2,NHS Ayrshire and Arran,Elective Inpatients,2,188,551,2.930851064,202,746,3.693069307
2021Q3,2021,Q3,NHS Ayrshire and Arran,Elective Inpatients,2,132,417,3.159090909,141,633,4.489361702
2021Q4,2021,Q4,NHS Ayrshire and Arran,Elective Inpatients,2,165,526,3.187878788,171,743,4.34502924
2022Q1,2022,Q1,NHS Ayrshire and Arran,Elective Inpatients,2,130,453,3.484615385,141,644,4.567375887
2022Q2,2022,Q2,NHS Ayrshire and Arran,Elective Inpatients,2,192,490,2.552083333,199,914,4.592964824
2022Q3,2022,Q3,NHS Ayrshire and Arran,Elective Inpatients,2,213,461,2.164319249,229,726,3.170305677
2022Q4,2022,Q4,NHS Ayrshire and Arran,Elective Inpatients,2,223,651,2.919282511,232,813,3.504310345
2017Q4,2017,Q4,NHS Ayrshire and Arran,Elective Inpatients,3,261,675,2.586206897,278,906,3.258992806
2018Q1,2018,Q1,NHS Ayrshire and Arran,Elective Inpatients,3,242,805,3.326446281,258,1105,4.282945736
2018Q2,2018,Q2,NHS Ayrshire and Arran,Elective Inpatients,3,238,527,2.214285714,246,651,2.646341463
2018Q3,2018,Q3,NHS Ayrshire and Arran,Elective Inpatients,3,247,648,2.623481781,260,865,3.326923077
2018Q4,2018,Q4,NHS Ayrshire and Arran,Elective Inpatients,3,302,729,2.413907285,319,956,2.996865204
2019Q1,2019,Q1,NHS Ayrshire and Arran,Elective Inpatients,3,290,545,1.879310345,294,706,2.401360544
2019Q2,2019,Q2,NHS Ayrshire and Arran,Elective Inpatients,3,297,749,2.521885522,309,1067,3.453074434
2019Q3,2019,Q3,NHS Ayrshire and Arran,Elective Inpatients,3,259,766,2.957528958,269,863,3.208178439
2019Q4,2019,Q4,NHS Ayrshire and Arran,Elective Inpatients,3,241,664,2.755186722,253,901,3.561264822
2020Q1,2020,Q1,NHS Ayrshire and Arran,Elective Inpatients,3,247,740,2.995951417,254,1032,4.062992126
2020Q2,2020,Q2,NHS Ayrshire and Arran,Elective Inpatients,3,68,157,2.308823529,69,185,2.68115942
2020Q3,2020,Q3,NHS Ayrshire and Arran,Elective Inpatients,3,145,522,3.6,147,533,3.62585034
2020Q4,2020,Q4,NHS Ayrshire and Arran,Elective Inpatients,3,117,238,2.034188034,126,552,4.380952381
2021Q1,2021,Q1,NHS Ayrshire and Arran,Elective Inpatients,3,58,131,2.25862069,59,179,3.033898305
2021Q2,2021,Q2,NHS Ayrshire and Arran,Elective Inpatients,3,156,379,2.429487179,170,523,3.076470588
2021Q3,2021,Q3,NHS Ayrshire and Arran,Elective Inpatients,3,121,527,4.355371901,128,501,3.9140625
2021Q4,2021,Q4,NHS Ayrshire and Arran,Elective Inpatients,3,123,355,2.886178862,127,525,4.133858268
2022Q1,2022,Q1,NHS Ayrshire and Arran,Elective Inpatients,3,103,285,2.766990291,104,342,3.288461538
2022Q2,2022,Q2,NHS Ayrshire and Arran,Elective Inpatients,3,144,374,2.597222222,150,516,3.44
2022Q3,2022,Q3,NHS Ayrshire and Arran,Elective Inpatients,3,182,525,2.884615385,198,636,3.212121212
2022Q4,2022,Q4,NHS Ayrshire and Arran,Elective Inpatients,3,194,620,3.195876289,215,859,3.995348837
2017Q4,2017,Q4,NHS Ayrshire and Arran,Elective Inpatients,4,223,516,2.313901345,238,717,3.012605042
2018Q1,2018,Q1,NHS Ayrshire and Arran,Elective Inpatients,4,182,471,2.587912088,191,607,3.178010471
2018Q2,2018,Q2,NHS Ayrshire and Arran,Elective Inpatients,4,207,559,2.700483092,212,743,3.504716981
2018Q3,2018,Q3,NHS Ayrshire and Arran,Elective Inpatients,4,210,521,2.480952381,222,825,3.716216216
2018Q4,2018,Q4,NHS Ayrshire and Arran,Elective Inpatients,4,218,613,2.811926606,226,783,3.46460177
2019Q1,2019,Q1,NHS Ayrshire and Arran,Elective Inpatients,4,247,583,2.360323887,247,657,2.659919028
2019Q2,2019,Q2,NHS Ayrshire and Arran,Elective Inpatients,4,231,633,2.74025974,249,918,3.686746988
2019Q3,2019,Q3,NHS Ayrshire and Arran,Elective Inpatients,4,231,632,2.735930736,238,805,3.382352941
2019Q4,2019,Q4,NHS Ayrshire and Arran,Elective Inpatients,4,202,486,2.405940594,208,577,2.774038462
2020Q1,2020,Q1,NHS Ayrshire and Arran,Elective Inpatients,4,191,526,2.753926702,192,620,3.229166667
2020Q2,2020,Q2,NHS Ayrshire and Arran,Elective Inpatients,4,37,94,2.540540541,38,218,5.736842105
2020Q3,2020,Q3,NHS Ayrshire and Arran,Elective Inpatients,4,84,214,2.547619048,86,260,3.023255814
2020Q4,2020,Q4,NHS Ayrshire and Arran,Elective Inpatients,4,102,230,2.254901961,108,428,3.962962963
2021Q1,2021,Q1,NHS Ayrshire and Arran,Elective Inpatients,4,46,106,2.304347826,51,158,3.098039216
2021Q2,2021,Q2,NHS Ayrshire and Arran,Elective Inpatients,4,125,256,2.048,132,428,3.242424242
2021Q3,2021,Q3,NHS Ayrshire and Arran,Elective Inpatients,4,96,252,2.625,108,473,4.37962963
2021Q4,2021,Q4,NHS Ayrshire and Arran,Elective Inpatients,4,106,430,4.056603774,110,510,4.636363636
2022Q1,2022,Q1,NHS Ayrshire and Arran,Elective Inpatients,4,92,327,3.554347826,96,375,3.90625
2022Q2,2022,Q2,NHS Ayrshire and Arran,Elective Inpatients,4,145,499,3.44137931,149,555,3.724832215
2022Q3,2022,Q3,NHS Ayrshire and Arran,Elective Inpatients,4,140,403,2.878571429,149,502,3.369127517
2022Q4,2022,Q4,NHS Ayrshire and Arran,Elective Inpatients,4,162,420,2.592592593,178,595,3.342696629
2017Q4,2017,Q4,NHS Ayrshire and Arran,Elective Inpatients,5,159,535,3.364779874,170,690,4.058823529
2018Q1,2018,Q1,NHS Ayrshire and Arran,Elective Inpatients,5,155,377,2.432258065,166,556,3.34939759
2018Q2,2018,Q2,NHS Ayrshire and Arran,Elective Inpatients,5,149,450,3.020134228,159,787,4.949685535
2018Q3,2018,Q3,NHS Ayrshire and Arran,Elective Inpatients,5,159,442,2.779874214,166,569,3.427710843
2018Q4,2018,Q4,NHS Ayrshire and Arran,Elective Inpatients,5,164,391,2.384146341,176,1213,6.892045455
2019Q1,2019,Q1,NHS Ayrshire and Arran,Elective Inpatients,5,205,518,2.526829268,214,684,3.196261682
2019Q2,2019,Q2,NHS Ayrshire and Arran,Elective Inpatients,5,199,566,2.844221106,201,737,3.666666667
2019Q3,2019,Q3,NHS Ayrshire and Arran,Elective Inpatients,5,142,374,2.633802817,148,452,3.054054054
2019Q4,2019,Q4,NHS Ayrshire and Arran,Elective Inpatients,5,169,534,3.159763314,175,693,3.96
2020Q1,2020,Q1,NHS Ayrshire and Arran,Elective Inpatients,5,151,362,2.397350993,158,495,3.132911392
2020Q2,2020,Q2,NHS Ayrshire and Arran,Elective Inpatients,5,42,91,2.166666667,46,128,2.782608696
2020Q3,2020,Q3,NHS Ayrshire and Arran,Elective Inpatients,5,90,177,1.966666667,91,201,2.208791209
2020Q4,2020,Q4,NHS Ayrshire and Arran,Elective Inpatients,5,89,187,2.101123596,96,304,3.166666667
2021Q1,2021,Q1,NHS Ayrshire and Arran,Elective Inpatients,5,32,116,3.625,32,139,4.34375
2021Q2,2021,Q2,NHS Ayrshire and Arran,Elective Inpatients,5,97,341,3.515463918,103,393,3.815533981
2021Q3,2021,Q3,NHS Ayrshire and Arran,Elective Inpatients,5,70,170,2.428571429,79,333,4.215189873
2021Q4,2021,Q4,NHS Ayrshire and Arran,Elective Inpatients,5,96,285,2.96875,103,502,4.873786408
2022Q1,2022,Q1,NHS Ayrshire and Arran,Elective Inpatients,5,72,210,2.916666667,73,258,3.534246575
2022Q2,2022,Q2,NHS Ayrshire and Arran,Elective Inpatients,5,90,222,2.466666667,93,279,3
2022Q3,2022,Q3,NHS Ayrshire and Arran,Elective Inpatients,5,118,297,2.516949153,124,443,3.572580645
2022Q4,2022,Q4,NHS Ayrshire and Arran,Elective Inpatients,5,99,286,2.888888889,107,347,3.242990654
2019Q4,2019,Q4,NHS Ayrshire and Arran,Elective Inpatients,NA,0,0,NA,0,0,NA
2020Q1,2020,Q1,NHS Ayrshire and Arran,Elective Inpatients,NA,0,0,NA,0,0,NA
2021Q1,2021,Q1,NHS Ayrshire and Arran,Elective Inpatients,NA,0,0,NA,0,0,NA
2017Q4,2017,Q4,NHS Borders,Elective Inpatients,1,26,39,1.5,25,111,4.44
2018Q1,2018,Q1,NHS Borders,Elective Inpatients,1,11,14,1.272727273,10,19,1.9
2018Q2,2018,Q2,NHS Borders,Elective Inpatients,1,25,30,1.2,23,35,1.52173913
2018Q3,2018,Q3,NHS Borders,Elective Inpatients,1,18,21,1.166666667,19,59,3.105263158
2018Q4,2018,Q4,NHS Borders,Elective Inpatients,1,12,34,2.833333333,12,57,4.75
2019Q1,2019,Q1,NHS Borders,Elective Inpatients,1,17,14,0.823529412,20,37,1.85
2019Q2,2019,Q2,NHS Borders,Elective Inpatients,1,26,53,2.038461538,25,77,3.08
2019Q3,2019,Q3,NHS Borders,Elective Inpatients,1,22,36,1.636363636,25,84,3.36
2019Q4,2019,Q4,NHS Borders,Elective Inpatients,1,15,24,1.6,15,24,1.6
2020Q1,2020,Q1,NHS Borders,Elective Inpatients,1,12,10,0.833333333,13,34,2.615384615
2020Q2,2020,Q2,NHS Borders,Elective Inpatients,1,5,5,1,5,5,1
2020Q3,2020,Q3,NHS Borders,Elective Inpatients,1,5,10,2,5,10,2
2020Q4,2020,Q4,NHS Borders,Elective Inpatients,1,5,24,4.8,5,25,5
2021Q1,2021,Q1,NHS Borders,Elective Inpatients,1,0,5,NA,0,5,NA
2021Q2,2021,Q2,NHS Borders,Elective Inpatients,1,5,14,2.8,5,14,2.8
2021Q3,2021,Q3,NHS Borders,Elective Inpatients,1,0,0,NA,0,6,NA
2021Q4,2021,Q4,NHS Borders,Elective Inpatients,1,10,14,1.4,10,14,1.4
2022Q1,2022,Q1,NHS Borders,Elective Inpatients,1,5,6,1.2,5,10,2
2022Q2,2022,Q2,NHS Borders,Elective Inpatients,1,5,24,4.8,10,32,3.2
2022Q3,2022,Q3,NHS Borders,Elective Inpatients,1,10,18,1.8,10,18,1.8
2022Q4,2022,Q4,NHS Borders,Elective Inpatients,1,10,13,1.3,10,42,4.2
2017Q4,2017,Q4,NHS Borders,Elective Inpatients,2,47,53,1.127659574,50,90,1.8
2018Q1,2018,Q1,NHS Borders,Elective Inpatients,2,30,34,1.133333333,30,73,2.433333333
2018Q2,2018,Q2,NHS Borders,Elective Inpatients,2,57,119,2.087719298,59,256,4.338983051
2018Q3,2018,Q3,NHS Borders,Elective Inpatients,2,54,84,1.555555556,55,102,1.854545455
2018Q4,2018,Q4,NHS Borders,Elective Inpatients,2,43,111,2.581395349,45,151,3.355555556
2019Q1,2019,Q1,NHS Borders,Elective Inpatients,2,47,63,1.340425532,50,85,1.7
2019Q2,2019,Q2,NHS Borders,Elective Inpatients,2,51,96,1.882352941,50,106,2.12
2019Q3,2019,Q3,NHS Borders,Elective Inpatients,2,53,79,1.490566038,54,131,2.425925926
2019Q4,2019,Q4,NHS Borders,Elective Inpatients,2,58,94,1.620689655,55,115,2.090909091
2020Q1,2020,Q1,NHS Borders,Elective Inpatients,2,35,45,1.285714286,36,100,2.777777778
2020Q2,2020,Q2,NHS Borders,Elective Inpatients,2,10,20,2,10,24,2.4
2020Q3,2020,Q3,NHS Borders,Elective Inpatients,2,11,17,1.545454545,10,20,2
2020Q4,2020,Q4,NHS Borders,Elective Inpatients,2,33,71,2.151515152,34,84,2.470588235
2021Q1,2021,Q1,NHS Borders,Elective Inpatients,2,11,14,1.272727273,10,16,1.6
2021Q2,2021,Q2,NHS Borders,Elective Inpatients,2,22,33,1.5,25,69,2.76
2021Q3,2021,Q3,NHS Borders,Elective Inpatients,2,35,51,1.457142857,34,134,3.941176471
2021Q4,2021,Q4,NHS Borders,Elective Inpatients,2,35,106,3.028571429,37,162,4.378378378
2022Q1,2022,Q1,NHS Borders,Elective Inpatients,2,11,18,1.636363636,10,22,2.2
2022Q2,2022,Q2,NHS Borders,Elective Inpatients,2,20,44,2.2,20,54,2.7
2022Q3,2022,Q3,NHS Borders,Elective Inpatients,2,17,26,1.529411765,15,32,2.133333333
2022Q4,2022,Q4,NHS Borders,Elective Inpatients,2,24,60,2.5,25,170,6.8
2017Q4,2017,Q4,NHS Borders,Elective Inpatients,3,113,225,1.991150442,115,277,2.408695652
2018Q1,2018,Q1,NHS Borders,Elective Inpatients,3,72,121,1.680555556,70,168,2.4
2018Q2,2018,Q2,NHS Borders,Elective Inpatients,3,124,272,2.193548387,125,411,3.288
2018Q3,2018,Q3,NHS Borders,Elective Inpatients,3,138,260,1.884057971,140,374,2.671428571
2018Q4,2018,Q4,NHS Borders,Elective Inpatients,3,136,285,2.095588235,140,410,2.928571429
2019Q1,2019,Q1,NHS Borders,Elective Inpatients,3,105,138,1.314285714,105,228,2.171428571
2019Q2,2019,Q2,NHS Borders,Elective Inpatients,3,132,211,1.598484848,135,257,1.903703704
2019Q3,2019,Q3,NHS Borders,Elective Inpatients,3,143,242,1.692307692,145,321,2.213793103
2019Q4,2019,Q4,NHS Borders,Elective Inpatients,3,128,231,1.8046875,130,297,2.284615385
2020Q1,2020,Q1,NHS Borders,Elective Inpatients,3,77,99,1.285714286,80,169,2.1125
2020Q2,2020,Q2,NHS Borders,Elective Inpatients,3,30,60,2,30,71,2.366666667
2020Q3,2020,Q3,NHS Borders,Elective Inpatients,3,35,48,1.371428571,35,97,2.771428571
2020Q4,2020,Q4,NHS Borders,Elective Inpatients,3,69,125,1.811594203,70,158,2.257142857
2021Q1,2021,Q1,NHS Borders,Elective Inpatients,3,34,53,1.558823529,32,101,3.15625
2021Q2,2021,Q2,NHS Borders,Elective Inpatients,3,74,133,1.797297297,75,233,3.106666667
2021Q3,2021,Q3,NHS Borders,Elective Inpatients,3,52,99,1.903846154,50,141,2.82
2021Q4,2021,Q4,NHS Borders,Elective Inpatients,3,65,143,2.2,65,219,3.369230769
2022Q1,2022,Q1,NHS Borders,Elective Inpatients,3,36,55,1.527777778,36,103,2.861111111
2022Q2,2022,Q2,NHS Borders,Elective Inpatients,3,41,79,1.926829268,40,154,3.85
2022Q3,2022,Q3,NHS Borders,Elective Inpatients,3,53,94,1.773584906,55,135,2.454545455
2022Q4,2022,Q4,NHS Borders,Elective Inpatients,3,59,101,1.711864407,55,122,2.218181818
2017Q4,2017,Q4,NHS Borders,Elective Inpatients,4,91,266,2.923076923,90,338,3.755555556
2018Q1,2018,Q1,NHS Borders,Elective Inpatients,4,64,115,1.796875,63,195,3.095238095
2018Q2,2018,Q2,NHS Borders,Elective Inpatients,4,78,140,1.794871795,75,178,2.373333333
2018Q3,2018,Q3,NHS Borders,Elective Inpatients,4,88,174,1.977272727,95,262,2.757894737
2018Q4,2018,Q4,NHS Borders,Elective Inpatients,4,105,226,2.152380952,105,289,2.752380952
2019Q1,2019,Q1,NHS Borders,Elective Inpatients,4,78,108,1.384615385,80,153,1.9125
2019Q2,2019,Q2,NHS Borders,Elective Inpatients,4,89,188,2.112359551,90,286,3.177777778
2019Q3,2019,Q3,NHS Borders,Elective Inpatients,4,99,174,1.757575758,100,222,2.22
2019Q4,2019,Q4,NHS Borders,Elective Inpatients,4,75,133,1.773333333,75,176,2.346666667
2020Q1,2020,Q1,NHS Borders,Elective Inpatients,4,66,105,1.590909091,65,140,2.153846154
2020Q2,2020,Q2,NHS Borders,Elective Inpatients,4,25,56,2.24,25,66,2.64
2020Q3,2020,Q3,NHS Borders,Elective Inpatients,4,26,39,1.5,25,64,2.56
2020Q4,2020,Q4,NHS Borders,Elective Inpatients,4,42,77,1.833333333,41,96,2.341463415
2021Q1,2021,Q1,NHS Borders,Elective Inpatients,4,25,83,3.32,25,77,3.08
2021Q2,2021,Q2,NHS Borders,Elective Inpatients,4,60,84,1.4,62,250,4.032258065
2021Q3,2021,Q3,NHS Borders,Elective Inpatients,4,51,99,1.941176471,50,113,2.26
2021Q4,2021,Q4,NHS Borders,Elective Inpatients,4,59,101,1.711864407,60,171,2.85
2022Q1,2022,Q1,NHS Borders,Elective Inpatients,4,30,70,2.333333333,30,88,2.933333333
2022Q2,2022,Q2,NHS Borders,Elective Inpatients,4,29,48,1.655172414,30,58,1.933333333
2022Q3,2022,Q3,NHS Borders,Elective Inpatients,4,25,40,1.6,25,50,2
2022Q4,2022,Q4,NHS Borders,Elective Inpatients,4,44,84,1.909090909,45,121,2.688888889
2017Q4,2017,Q4,NHS Borders,Elective Inpatients,5,20,31,1.55,21,42,2
2018Q1,2018,Q1,NHS Borders,Elective Inpatients,5,17,31,1.823529412,19,50,2.631578947
2018Q2,2018,Q2,NHS Borders,Elective Inpatients,5,20,45,2.25,20,61,3.05
2018Q3,2018,Q3,NHS Borders,Elective Inpatients,5,31,75,2.419354839,30,94,3.133333333
2018Q4,2018,Q4,NHS Borders,Elective Inpatients,5,17,39,2.294117647,17,59,3.470588235
2019Q1,2019,Q1,NHS Borders,Elective Inpatients,5,15,28,1.866666667,15,29,1.933333333
2019Q2,2019,Q2,NHS Borders,Elective Inpatients,5,16,25,1.5625,16,38,2.375
2019Q3,2019,Q3,NHS Borders,Elective Inpatients,5,25,41,1.64,25,48,1.92
2019Q4,2019,Q4,NHS Borders,Elective Inpatients,5,26,43,1.653846154,26,61,2.346153846
2020Q1,2020,Q1,NHS Borders,Elective Inpatients,5,12,19,1.583333333,15,32,2.133333333
2020Q2,2020,Q2,NHS Borders,Elective Inpatients,5,0,5,NA,5,36,7.2
2020Q3,2020,Q3,NHS Borders,Elective Inpatients,5,10,9,0.9,10,35,3.5
2020Q4,2020,Q4,NHS Borders,Elective Inpatients,5,15,25,1.666666667,15,35,2.333333333
2021Q1,2021,Q1,NHS Borders,Elective Inpatients,5,10,16,1.6,10,16,1.6
2021Q2,2021,Q2,NHS Borders,Elective Inpatients,5,19,37,1.947368421,19,65,3.421052632
2021Q3,2021,Q3,NHS Borders,Elective Inpatients,5,10,43,4.3,12,43,3.583333333
2021Q4,2021,Q4,NHS Borders,Elective Inpatients,5,15,28,1.866666667,14,32,2.285714286
2022Q1,2022,Q1,NHS Borders,Elective Inpatients,5,10,18,1.8,10,38,3.8
2022Q2,2022,Q2,NHS Borders,Elective Inpatients,5,5,6,1.2,10,25,2.5
2022Q3,2022,Q3,NHS Borders,Elective Inpatients,5,10,20,2,10,29,2.9
2022Q4,2022,Q4,NHS Borders,Elective Inpatients,5,11,28,2.545454545,11,35,3.181818182
2017Q4,2017,Q4,NHS Borders,Elective Inpatients,NA,5,11,2.2,5,11,2.2
2018Q1,2018,Q1,NHS Borders,Elective Inpatients,NA,5,0,0,5,8,1.6
2018Q2,2018,Q2,NHS Borders,Elective Inpatients,NA,10,8,0.8,10,26,2.6
2018Q3,2018,Q3,NHS Borders,Elective Inpatients,NA,5,5,1,5,11,2.2
2018Q4,2018,Q4,NHS Borders,Elective Inpatients,NA,5,10,2,5,15,3
2019Q1,2019,Q1,NHS Borders,Elective Inpatients,NA,5,7,1.4,5,7,1.4
2019Q2,2019,Q2,NHS Borders,Elective Inpatients,NA,11,18,1.636363636,11,22,2
2019Q3,2019,Q3,NHS Borders,Elective Inpatients,NA,10,11,1.1,10,11,1.1
2019Q4,2019,Q4,NHS Borders,Elective Inpatients,NA,5,5,1,5,5,1
2020Q1,2020,Q1,NHS Borders,Elective Inpatients,NA,5,7,1.4,5,10,2
2020Q2,2020,Q2,NHS Borders,Elective Inpatients,NA,5,5,1,5,11,2.2
2020Q3,2020,Q3,NHS Borders,Elective Inpatients,NA,5,6,1.2,5,6,1.2
2020Q4,2020,Q4,NHS Borders,Elective Inpatients,NA,0,0,NA,0,0,NA
2021Q1,2021,Q1,NHS Borders,Elective Inpatients,NA,0,0,NA,0,5,NA
2021Q2,2021,Q2,NHS Borders,Elective Inpatients,NA,0,5,NA,0,5,NA
2021Q3,2021,Q3,NHS Borders,Elective Inpatients,NA,5,14,2.8,5,14,2.8
2021Q4,2021,Q4,NHS Borders,Elective Inpatients,NA,0,6,NA,0,6,NA
2022Q1,2022,Q1,NHS Borders,Elective Inpatients,NA,5,10,2,5,14,2.8
2022Q2,2022,Q2,NHS Borders,Elective Inpatients,NA,5,0,0,5,0,0
2022Q3,2022,Q3,NHS Borders,Elective Inpatients,NA,0,5,NA,0,5,NA
2022Q4,2022,Q4,NHS Borders,Elective Inpatients,NA,0,0,NA,0,0,NA
2017Q4,2017,Q4,NHS Dumfries and Galloway,Elective Inpatients,1,44,93,2.113636364,45,198,4.4
2018Q1,2018,Q1,NHS Dumfries and Galloway,Elective Inpatients,1,44,60,1.363636364,44,76,1.727272727
2018Q2,2018,Q2,NHS Dumfries and Galloway,Elective Inpatients,1,46,62,1.347826087,50,91,1.82
2018Q3,2018,Q3,NHS Dumfries and Galloway,Elective Inpatients,1,40,72,1.8,54,116,2.148148148
2018Q4,2018,Q4,NHS Dumfries and Galloway,Elective Inpatients,1,27,70,2.592592593,40,106,2.65
2019Q1,2019,Q1,NHS Dumfries and Galloway,Elective Inpatients,1,41,95,2.317073171,54,138,2.555555556
2019Q2,2019,Q2,NHS Dumfries and Galloway,Elective Inpatients,1,31,54,1.741935484,50,93,1.86
2019Q3,2019,Q3,NHS Dumfries and Galloway,Elective Inpatients,1,30,64,2.133333333,45,147,3.266666667
2019Q4,2019,Q4,NHS Dumfries and Galloway,Elective Inpatients,1,30,56,1.866666667,50,138,2.76
2020Q1,2020,Q1,NHS Dumfries and Galloway,Elective Inpatients,1,37,70,1.891891892,50,156,3.12
2020Q2,2020,Q2,NHS Dumfries and Galloway,Elective Inpatients,1,10,10,1,15,30,2
2020Q3,2020,Q3,NHS Dumfries and Galloway,Elective Inpatients,1,25,24,0.96,45,79,1.755555556
2020Q4,2020,Q4,NHS Dumfries and Galloway,Elective Inpatients,1,20,26,1.3,40,172,4.3
2021Q1,2021,Q1,NHS Dumfries and Galloway,Elective Inpatients,1,25,35,1.4,35,65,1.857142857
2021Q2,2021,Q2,NHS Dumfries and Galloway,Elective Inpatients,1,25,34,1.36,40,75,1.875
2021Q3,2021,Q3,NHS Dumfries and Galloway,Elective Inpatients,1,15,45,3,25,72,2.88
2021Q4,2021,Q4,NHS Dumfries and Galloway,Elective Inpatients,1,20,17,0.85,30,74,2.466666667
2022Q1,2022,Q1,NHS Dumfries and Galloway,Elective Inpatients,1,20,14,0.7,25,51,2.04
2022Q2,2022,Q2,NHS Dumfries and Galloway,Elective Inpatients,1,25,28,1.12,35,92,2.628571429
2022Q3,2022,Q3,NHS Dumfries and Galloway,Elective Inpatients,1,25,37,1.48,35,121,3.457142857
2022Q4,2022,Q4,NHS Dumfries and Galloway,Elective Inpatients,1,25,14,0.56,35,59,1.685714286
2017Q4,2017,Q4,NHS Dumfries and Galloway,Elective Inpatients,2,141,274,1.943262411,156,493,3.16025641
2018Q1,2018,Q1,NHS Dumfries and Galloway,Elective Inpatients,2,164,330,2.012195122,163,476,2.920245399
2018Q2,2018,Q2,NHS Dumfries and Galloway,Elective Inpatients,2,152,355,2.335526316,171,610,3.567251462
2018Q3,2018,Q3,NHS Dumfries and Galloway,Elective Inpatients,2,159,301,1.893081761,200,473,2.365
