Quarter,Location,HBName,AdmissionType,Sex,Age,Episodes,LengthOfEpisode,AverageLengthOfEpisode,Stays,LengthOfStay,AverageLengthOfStay,Year,Quarter_single
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,19,14,0.736842105263158,23,25,1.08695652173913,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,12,10,0.833333333333333,28,35,1.25,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,29,37,1.27586206896552,37,48,1.2972972972973,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,27,38,1.40740740740741,37,49,1.32432432432432,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,15,22,1.46666666666667,24,31,1.29166666666667,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,17,18,1.05882352941176,22,25,1.13636363636364,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,13,10,0.769230769230769,19,17,0.894736842105263,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,14,14,1,23,27,1.17391304347826,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,13,20,1.53846153846154,21,28,1.33333333333333,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,17,17,1,22,25,1.13636363636364,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,0,0,NA,0,0,NA,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,5,9,1.8,5,9,1.8,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,5,5,1,5,5,1,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,0,5,NA,0,5,NA,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,0,0,NA,5,0,0,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,0,5,NA,0,5,NA,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,0,0,NA,0,0,NA,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,0,0,NA,5,0,0,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,5,0,0,5,5,1,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,10,38,3.8,16,45,2.8125,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,10-19 years,10,8,0.8,14,15,1.07142857142857,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,22,85,3.86363636363636,22,85,3.86363636363636,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,37,47,1.27027027027027,37,54,1.45945945945946,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,29,88,3.03448275862069,29,142,4.89655172413793,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,22,42,1.90909090909091,24,53,2.20833333333333,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,29,37,1.27586206896552,30,45,1.5,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,23,44,1.91304347826087,23,53,2.30434782608696,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,27,35,1.2962962962963,27,51,1.88888888888889,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,21,33,1.57142857142857,21,40,1.9047619047619,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,18,22,1.22222222222222,18,22,1.22222222222222,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,22,36,1.63636363636364,22,37,1.68181818181818,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,5,5,1,5,5,1,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,11,19,1.72727272727273,13,26,2,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,11,15,1.36363636363636,11,65,5.90909090909091,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,0,0,NA,0,0,NA,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,12,26,2.16666666666667,13,27,2.07692307692308,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,10,15,1.5,10,17,1.7,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,5,29,5.8,5,29,5.8,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,10,11,1.1,10,11,1.1,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,10,12,1.2,11,31,2.81818181818182,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,16,21,1.3125,16,35,2.1875,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,20-29 years,15,26,1.73333333333333,15,26,1.73333333333333,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,31,67,2.16129032258065,32,107,3.34375,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,36,56,1.55555555555556,37,84,2.27027027027027,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,46,81,1.76086956521739,47,100,2.12765957446809,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,28,37,1.32142857142857,32,44,1.375,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,33,37,1.12121212121212,35,43,1.22857142857143,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,35,40,1.14285714285714,35,40,1.14285714285714,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,42,63,1.5,41,68,1.65853658536585,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,41,53,1.29268292682927,41,57,1.39024390243902,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,20,24,1.2,20,31,1.55,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,30,62,2.06666666666667,29,60,2.06896551724138,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,5,5,1,5,127,25.4,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,22,44,2,23,49,2.1304347826087,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,14,41,2.92857142857143,18,72,4,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,0,6,NA,5,8,1.6,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,15,36,2.4,18,84,4.66666666666667,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,15,30,2,16,34,2.125,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,12,93,7.75,12,93,7.75,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,10,53,5.3,10,60,6,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,16,59,3.6875,16,62,3.875,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,27,78,2.88888888888889,28,94,3.35714285714286,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,30-39 years,34,67,1.97058823529412,34,87,2.55882352941176,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,69,207,3,73,281,3.84931506849315,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,60,140,2.33333333333333,62,166,2.67741935483871,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,67,150,2.23880597014925,70,172,2.45714285714286,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,63,137,2.17460317460317,65,186,2.86153846153846,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,69,139,2.01449275362319,71,154,2.16901408450704,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,61,111,1.81967213114754,62,125,2.01612903225806,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,68,295,4.33823529411765,69,316,4.57971014492754,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,49,216,4.40816326530612,49,229,4.6734693877551,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,56,205,3.66071428571429,57,228,4,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,46,102,2.21739130434783,47,121,2.57446808510638,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,16,71,4.4375,17,87,5.11764705882353,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,32,147,4.59375,35,178,5.08571428571429,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,19,57,3,22,169,7.68181818181818,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,12,47,3.91666666666667,12,58,4.83333333333333,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,21,36,1.71428571428571,23,68,2.95652173913043,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,11,38,3.45454545454545,13,40,3.07692307692308,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,26,119,4.57692307692308,26,128,4.92307692307692,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,21,105,5,22,106,4.81818181818182,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,34,70,2.05882352941176,34,77,2.26470588235294,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,38,85,2.23684210526316,41,105,2.5609756097561,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,40-49 years,37,59,1.59459459459459,37,76,2.05405405405405,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,113,292,2.58407079646018,118,371,3.14406779661017,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,121,328,2.71074380165289,124,354,2.85483870967742,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,145,437,3.01379310344828,147,508,3.45578231292517,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,120,279,2.325,125,379,3.032,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,109,208,1.90825688073395,109,272,2.4954128440367,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,124,264,2.12903225806452,123,341,2.77235772357724,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,125,259,2.072,131,387,2.95419847328244,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,110,240,2.18181818181818,108,236,2.18518518518519,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,138,375,2.71739130434783,144,514,3.56944444444444,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,111,317,2.85585585585586,113,382,3.38053097345133,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,18,43,2.38888888888889,21,68,3.23809523809524,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,70,323,4.61428571428571,71,354,4.98591549295775,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,76,251,3.30263157894737,79,273,3.45569620253165,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,17,36,2.11764705882353,17,86,5.05882352941176,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,65,148,2.27692307692308,67,154,2.29850746268657,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,38,220,5.78947368421053,46,138,3,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,60,138,2.3,63,303,4.80952380952381,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,48,115,2.39583333333333,48,126,2.625,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,67,229,3.41791044776119,68,252,3.70588235294118,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,84,346,4.11904761904762,87,365,4.19540229885058,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,50-59 years,102,345,3.38235294117647,104,383,3.68269230769231,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,212,564,2.66037735849057,216,662,3.06481481481481,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,153,409,2.67320261437908,158,478,3.0253164556962,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,173,500,2.89017341040462,175,602,3.44,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,154,430,2.79220779220779,159,534,3.35849056603774,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,173,440,2.54335260115607,180,1172,6.51111111111111,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,191,408,2.13612565445026,193,469,2.4300518134715,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,163,388,2.38036809815951,167,498,2.98203592814371,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,172,440,2.55813953488372,172,519,3.01744186046512,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,134,474,3.53731343283582,136,643,4.72794117647059,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,139,428,3.07913669064748,144,614,4.26388888888889,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,37,95,2.56756756756757,38,172,4.52631578947368,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,73,237,3.24657534246575,78,312,4,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,69,168,2.43478260869565,74,225,3.04054054054054,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,35,80,2.28571428571429,37,118,3.18918918918919,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,74,265,3.58108108108108,86,413,4.80232558139535,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,64,271,4.234375,69,396,5.73913043478261,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,61,214,3.50819672131148,62,292,4.70967741935484,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,59,320,5.42372881355932,61,342,5.60655737704918,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,87,244,2.80459770114943,92,306,3.32608695652174,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,124,295,2.37903225806452,127,366,2.88188976377953,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,60-69 years,113,297,2.6283185840708,116,354,3.05172413793103,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,186,602,3.23655913978495,192,892,4.64583333333333,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,145,553,3.81379310344828,151,697,4.6158940397351,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,170,644,3.78823529411765,174,655,3.76436781609195,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,185,522,2.82162162162162,191,686,3.59162303664921,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,174,743,4.27011494252874,178,926,5.20224719101124,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,198,591,2.98484848484848,202,674,3.33663366336634,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,197,580,2.94416243654822,198,722,3.64646464646465,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,197,701,3.55837563451777,202,883,4.37128712871287,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,169,490,2.89940828402367,168,655,3.89880952380952,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,147,590,4.01360544217687,153,715,4.67320261437909,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,29,73,2.51724137931034,28,82,2.92857142857143,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,86,392,4.55813953488372,89,322,3.61797752808989,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,77,242,3.14285714285714,82,490,5.97560975609756,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,37,131,3.54054054054054,39,170,4.35897435897436,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,95,287,3.02105263157895,99,351,3.54545454545455,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,70,200,2.85714285714286,76,350,4.60526315789474,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,98,283,2.88775510204082,102,336,3.29411764705882,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,65,238,3.66153846153846,66,296,4.48484848484848,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,112,363,3.24107142857143,117,432,3.69230769230769,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,117,394,3.36752136752137,124,477,3.84677419354839,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,70-79 years,127,403,3.17322834645669,131,584,4.45801526717557,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,76,258,3.39473684210526,81,434,5.35802469135802,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,66,227,3.43939393939394,66,280,4.24242424242424,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,60,215,3.58333333333333,63,230,3.65079365079365,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,83,232,2.79518072289157,84,263,3.13095238095238,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,79,347,4.3924050632911404,81,396,4.88888888888889,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,82,221,2.69512195121951,83,277,3.33734939759036,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,96,328,3.41666666666667,100,401,4.01,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,62,248,4,62,248,4,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,74,293,3.95945945945946,75,317,4.22666666666667,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,59,148,2.50847457627119,61,226,3.70491803278689,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,11,32,2.90909090909091,12,33,2.75,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,28,142,5.07142857142857,29,176,6.06896551724138,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,41,94,2.29268292682927,43,142,3.30232558139535,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,19,61,3.21052631578947,19,60,3.1578947368421,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,41,111,2.70731707317073,48,239,4.97916666666667,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,26,65,2.5,27,124,4.59259259259259,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,42,189,4.5,44,246,5.59090909090909,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,23,77,3.34782608695652,23,77,3.34782608695652,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,34,203,5.97058823529412,34,220,6.47058823529412,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,48,261,5.4375,48,369,7.6875,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,80-89 years,48,303,6.3125,48,386,8.04166666666667,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,18,3.6,5,18,3.6,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,11,2.2,5,11,2.2,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,0,0,NA,0,11,NA,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,5,1,5,5,1,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,11,2.2,5,7,1.4,2018,Q4
