Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,123,355,2.886178862,,127,525,4.133858268,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,103,285,2.766990291,,104,342,3.288461538,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,144,374,2.597222222,,150,516,3.44,
2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,182,525,2.884615385,,198,636,3.212121212,
2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,3,,194,620,3.195876289,,215,859,3.995348837,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,223,516,2.313901345,,238,717,3.012605042,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,182,471,2.587912088,,191,607,3.178010471,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,207,559,2.700483092,,212,743,3.504716981,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,210,521,2.480952381,,222,825,3.716216216,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,218,613,2.811926606,,226,783,3.46460177,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,247,583,2.360323887,,247,657,2.659919028,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,231,633,2.74025974,,249,918,3.686746988,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,231,632,2.735930736,,238,805,3.382352941,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,202,486,2.405940594,,208,577,2.774038462,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,191,526,2.753926702,,192,620,3.229166667,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,37,94,2.540540541,,38,218,5.736842105,
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,84,214,2.547619048,,86,260,3.023255814,
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,102,230,2.254901961,,108,428,3.962962963,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,46,106,2.304347826,,51,158,3.098039216,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,125,256,2.048,,132,428,3.242424242,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,96,252,2.625,,108,473,4.37962963,
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,106,430,4.056603774,,110,510,4.636363636,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,92,327,3.554347826,,96,375,3.90625,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,145,499,3.44137931,,149,555,3.724832215,
2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,140,403,2.878571429,,149,502,3.369127517,
2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,4,,162,420,2.592592593,,178,595,3.342696629,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,5,,159,535,3.364779874,,170,690,4.058823529,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,5,,155,377,2.432258065,,166,556,3.34939759,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,5,,149,450,3.020134228,,159,787,4.949685535,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,5,,159,442,2.779874214,,166,569,3.427710843,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,5,,164,391,2.384146341,,176,1213,6.892045455,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,5,,205,518,2.526829268,,214,684,3.196261682,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,5,,199,566,2.844221106,,201,737,3.666666667,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,5,,142,374,2.633802817,,148,452,3.054054054,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,5,,169,534,3.159763314,,175,693,3.96,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,5,,151,362,2.397350993,,158,495,3.132911392,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,5,,42,91,2.166666667,,46,128,2.782608696,
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,5,,90,177,1.966666667,,91,201,2.208791209,
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,5,,89,187,2.101123596,,96,304,3.166666667,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,5,,32,116,3.625,,32,139,4.34375,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,5,,97,341,3.515463918,,103,393,3.815533981,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,5,,70,170,2.428571429,,79,333,4.215189873,
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,5,,96,285,2.96875,,103,502,4.873786408,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,5,,72,210,2.916666667,,73,258,3.534246575,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,5,,90,222,2.466666667,,93,279,3,
2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,5,,118,297,2.516949153,,124,443,3.572580645,
2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,5,,99,286,2.888888889,,107,347,3.242990654,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,,:,0,0,,z,0,0,,z
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,,:,0,0,,z,0,0,,z
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,,:,0,0,,z,0,0,,z
2017Q4,,S08000015,,A210H,,Elective Inpatients,,1,,220,665,3.022727273,,225,910,4.044444444,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,1,,198,555,2.803030303,,200,634,3.17,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,1,,205,546,2.663414634,,205,616,3.004878049,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,1,,165,478,2.896969697,,180,765,4.25,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,1,,196,477,2.433673469,,200,622,3.11,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,1,,170,381,2.241176471,,175,493,2.817142857,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,1,,180,410,2.277777778,,185,546,2.951351351,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,1,,155,460,2.967741935,,155,586,3.780645161,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,1,,176,437,2.482954545,,180,646,3.588888889,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,1,,189,464,2.455026455,,195,652,3.343589744,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,1,,51,115,2.254901961,,50,262,5.24,
2020Q3,,S08000015,,A210H,,Elective Inpatients,,1,,132,373,2.825757576,,130,391,3.007692308,
2020Q4,,S08000015,,A210H,,Elective Inpatients,,1,,137,251,1.832116788,,140,488,3.485714286,
2021Q1,,S08000015,,A210H,,Elective Inpatients,,1,,57,177,3.105263158,,60,377,6.283333333,
2021Q2,,S08000015,,A210H,,Elective Inpatients,,1,,152,399,2.625,,152,498,3.276315789,
2021Q3,,S08000015,,A210H,,Elective Inpatients,,1,,96,220,2.291666667,,103,459,4.45631068,
2021Q4,,S08000015,,A210H,,Elective Inpatients,,1,,175,477,2.725714286,,180,714,3.966666667,
2022Q1,,S08000015,,A210H,,Elective Inpatients,,1,,142,501,3.528169014,,145,601,4.144827586,
2022Q2,,S08000015,,A210H,,Elective Inpatients,,1,,149,490,3.288590604,,150,561,3.74,
2022Q3,,S08000015,,A210H,,Elective Inpatients,,1,,173,592,3.421965318,,175,796,4.548571429,
2022Q4,p,S08000015,,A210H,,Elective Inpatients,,1,,154,350,2.272727273,,160,513,3.20625,
2017Q4,,S08000015,,A210H,,Elective Inpatients,,2,,186,592,3.182795699,,190,854,4.494736842,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,2,,155,457,2.948387097,,155,459,2.961290323,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,2,,165,468,2.836363636,,175,689,3.937142857,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,2,,170,478,2.811764706,,175,600,3.428571429,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,2,,175,450,2.571428571,,180,633,3.516666667,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,2,,213,489,2.295774648,,215,668,3.106976744,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,2,,170,390,2.294117647,,176,557,3.164772727,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,2,,172,528,3.069767442,,175,584,3.337142857,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,2,,160,436,2.725,,165,554,3.357575758,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,2,,155,381,2.458064516,,158,505,3.196202532,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,2,,41,129,3.146341463,,41,148,3.609756098,
2020Q3,,S08000015,,A210H,,Elective Inpatients,,2,,127,322,2.535433071,,135,412,3.051851852,
2020Q4,,S08000015,,A210H,,Elective Inpatients,,2,,124,297,2.39516129,,125,355,2.84,
2021Q1,,S08000015,,A210H,,Elective Inpatients,,2,,53,120,2.264150943,,55,140,2.545454545,
2021Q2,,S08000015,,A210H,,Elective Inpatients,,2,,132,347,2.628787879,,135,515,3.814814815,
2021Q3,,S08000015,,A210H,,Elective Inpatients,,2,,91,201,2.208791209,,95,370,3.894736842,
2021Q4,,S08000015,,A210H,,Elective Inpatients,,2,,136,397,2.919117647,,137,503,3.671532847,
2022Q1,,S08000015,,A210H,,Elective Inpatients,,2,,92,291,3.163043478,,95,458,4.821052632,
2022Q2,,S08000015,,A210H,,Elective Inpatients,,2,,138,335,2.427536232,,140,452,3.228571429,
2022Q3,,S08000015,,A210H,,Elective Inpatients,,2,,162,382,2.358024691,,165,614,3.721212121,
2022Q4,p,S08000015,,A210H,,Elective Inpatients,,2,,150,504,3.36,,150,640,4.266666667,
2017Q4,,S08000015,,A210H,,Elective Inpatients,,3,,133,338,2.541353383,,135,398,2.948148148,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,3,,141,472,3.34751773,,150,637,4.246666667,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,3,,124,310,2.5,,125,349,2.792,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,3,,125,399,3.192,,129,458,3.550387597,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,3,,159,454,2.855345912,,165,546,3.309090909,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,3,,145,315,2.172413793,,144,397,2.756944444,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,3,,158,398,2.518987342,,160,594,3.7125,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,3,,135,391,2.896296296,,135,443,3.281481481,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,3,,139,332,2.388489209,,140,444,3.171428571,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,3,,149,370,2.483221477,,150,623,4.153333333,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,3,,37,68,1.837837838,,37,83,2.243243243,
2020Q3,,S08000015,,A210H,,Elective Inpatients,,3,,94,323,3.436170213,,95,240,2.526315789,
2020Q4,,S08000015,,A210H,,Elective Inpatients,,3,,86,167,1.941860465,,90,428,4.755555556,
2021Q1,,S08000015,,A210H,,Elective Inpatients,,3,,46,104,2.260869565,,45,121,2.688888889,
2021Q2,,S08000015,,A210H,,Elective Inpatients,,3,,106,249,2.349056604,,110,309,2.809090909,
2021Q3,,S08000015,,A210H,,Elective Inpatients,,3,,79,250,3.164556962,,79,312,3.949367089,
2021Q4,,S08000015,,A210H,,Elective Inpatients,,3,,102,241,2.362745098,,105,404,3.847619048,
2022Q1,,S08000015,,A210H,,Elective Inpatients,,3,,67,149,2.223880597,,65,181,2.784615385,
2022Q2,,S08000015,,A210H,,Elective Inpatients,,3,,95,238,2.505263158,,95,300,3.157894737,
2022Q3,,S08000015,,A210H,,Elective Inpatients,,3,,123,315,2.56097561,,125,400,3.2,
2022Q4,p,S08000015,,A210H,,Elective Inpatients,,3,,128,342,2.671875,,134,457,3.410447761,
2017Q4,,S08000015,,A210H,,Elective Inpatients,,4,,90,195,2.166666667,,90,215,2.388888889,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,4,,76,197,2.592105263,,75,241,3.213333333,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,4,,95,318,3.347368421,,97,423,4.360824742,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,4,,88,267,3.034090909,,95,435,4.578947368,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,4,,102,376,3.68627451,,105,470,4.476190476,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,4,,104,287,2.759615385,,100,304,3.04,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,4,,90,293,3.255555556,,95,404,4.252631579,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,4,,110,273,2.481818182,,110,299,2.718181818,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,4,,104,213,2.048076923,,105,264,2.514285714,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,4,,112,277,2.473214286,,112,315,2.8125,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,4,,25,57,2.28,,25,170,6.8,
2020Q3,,S08000015,,A210H,,Elective Inpatients,,4,,55,141,2.563636364,,55,154,2.8,
2020Q4,,S08000015,,A210H,,Elective Inpatients,,4,,62,126,2.032258065,,60,231,3.85,
2021Q1,,S08000015,,A210H,,Elective Inpatients,,4,,28,53,1.892857143,,31,63,2.032258065,
2021Q2,,S08000015,,A210H,,Elective Inpatients,,4,,76,136,1.789473684,,75,244,3.253333333,
2021Q3,,S08000015,,A210H,,Elective Inpatients,,4,,60,164,2.733333333,,60,245,4.083333333,
2021Q4,,S08000015,,A210H,,Elective Inpatients,,4,,74,219,2.959459459,,76,296,3.894736842,
2022Q1,,S08000015,,A210H,,Elective Inpatients,,4,,65,212,3.261538462,,65,244,3.753846154,
2022Q2,,S08000015,,A210H,,Elective Inpatients,,4,,98,255,2.602040816,,95,282,2.968421053,
2022Q3,,S08000015,,A210H,,Elective Inpatients,,4,,80,247,3.0875,,80,297,3.7125,
2022Q4,p,S08000015,,A210H,,Elective Inpatients,,4,,100,307,3.07,,105,423,4.028571429,
2017Q4,,S08000015,,A210H,,Elective Inpatients,,5,,81,310,3.827160494,,85,388,4.564705882,
2018Q1,,S08000015,,A210H,,Elective Inpatients,,5,,87,249,2.862068966,,90,344,3.822222222,
2018Q2,,S08000015,,A210H,,Elective Inpatients,,5,,69,269,3.898550725,,75,547,7.293333333,
2018Q3,,S08000015,,A210H,,Elective Inpatients,,5,,75,239,3.186666667,,75,350,4.666666667,
2018Q4,,S08000015,,A210H,,Elective Inpatients,,5,,102,211,2.068627451,,102,248,2.431372549,
2019Q1,,S08000015,,A210H,,Elective Inpatients,,5,,106,299,2.820754717,,108,357,3.305555556,
2019Q2,,S08000015,,A210H,,Elective Inpatients,,5,,102,313,3.068627451,,103,404,3.922330097,
2019Q3,,S08000015,,A210H,,Elective Inpatients,,5,,72,195,2.708333333,,73,224,3.068493151,
2019Q4,,S08000015,,A210H,,Elective Inpatients,,5,,98,212,2.163265306,,100,229,2.29,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,5,,94,255,2.712765957,,100,330,3.3,
2020Q2,,S08000015,,A210H,,Elective Inpatients,,5,,26,63,2.423076923,,30,71,2.366666667,
2020Q3,,S08000015,,A210H,,Elective Inpatients,,5,,55,91,1.654545455,,55,106,1.927272727,
2020Q4,,S08000015,,A210H,,Elective Inpatients,,5,,64,148,2.3125,,65,221,3.4,
2021Q1,,S08000015,,A210H,,Elective Inpatients,,5,,22,64,2.909090909,,20,84,4.2,
2021Q2,,S08000015,,A210H,,Elective Inpatients,,5,,55,124,2.254545455,,55,195,3.545454545,
2021Q3,,S08000015,,A210H,,Elective Inpatients,,5,,43,61,1.418604651,,45,91,2.022222222,
2021Q4,,S08000015,,A210H,,Elective Inpatients,,5,,61,126,2.06557377,,65,338,5.2,
2022Q1,,S08000015,,A210H,,Elective Inpatients,,5,,53,80,1.509433962,,55,132,2.4,
2022Q2,,S08000015,,A210H,,Elective Inpatients,,5,,61,146,2.393442623,,60,171,2.85,
2022Q3,,S08000015,,A210H,,Elective Inpatients,,5,,75,172,2.293333333,,75,241,3.213333333,
2022Q4,p,S08000015,,A210H,,Elective Inpatients,,5,,62,186,3,,64,218,3.40625,
2020Q1,,S08000015,,A210H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
2021Q1,,S08000015,,A210H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
2017Q4,,S08000015,,A111H,,Elective Inpatients,,1,,252,654,2.595238095,,280,884,3.157142857,
2018Q1,,S08000015,,A111H,,Elective Inpatients,,1,,220,545,2.477272727,,235,686,2.919148936,
2018Q2,,S08000015,,A111H,,Elective Inpatients,,1,,255,766,3.003921569,,275,1024,3.723636364,
2018Q3,,S08000015,,A111H,,Elective Inpatients,,1,,231,518,2.242424242,,245,640,2.612244898,
2018Q4,,S08000015,,A111H,,Elective Inpatients,,1,,234,571,2.44017094,,255,789,3.094117647,
2019Q1,,S08000015,,A111H,,Elective Inpatients,,1,,251,463,1.844621514,,270,810,3,
2019Q2,,S08000015,,A111H,,Elective Inpatients,,1,,249,535,2.148594378,,270,760,2.814814815,
2019Q3,,S08000015,,A111H,,Elective Inpatients,,1,,219,558,2.547945205,,250,724,2.896,
2019Q4,,S08000015,,A111H,,Elective Inpatients,,1,,183,554,3.027322404,,205,722,3.52195122,
2020Q1,,S08000015,,A111H,,Elective Inpatients,,1,,130,398,3.061538462,,152,500,3.289473684,
2020Q2,,S08000015,,A111H,,Elective Inpatients,,1,,36,89,2.472222222,,40,207,5.175,
2020Q3,,S08000015,,A111H,,Elective Inpatients,,1,,75,279,3.72,,85,402,4.729411765,
2020Q4,,S08000015,,A111H,,Elective Inpatients,,1,,59,165,2.796610169,,65,225,3.461538462,
2021Q1,,S08000015,,A111H,,Elective Inpatients,,1,,39,151,3.871794872,,45,223,4.955555556,
2021Q2,,S08000015,,A111H,,Elective Inpatients,,1,,55,138,2.509090909,,70,258,3.685714286,
2021Q3,,S08000015,,A111H,,Elective Inpatients,,1,,54,197,3.648148148,,75,339,4.52,
2021Q4,,S08000015,,A111H,,Elective Inpatients,,1,,45,145,3.222222222,,50,183,3.66,
2022Q1,,S08000015,,A111H,,Elective Inpatients,,1,,38,161,4.236842105,,50,240,4.8,
2022Q2,,S08000015,,A111H,,Elective Inpatients,,1,,75,234,3.12,,90,338,3.755555556,
2022Q3,,S08000015,,A111H,,Elective Inpatients,,1,,115,335,2.913043478,,135,476,3.525925926,
2022Q4,p,S08000015,,A111H,,Elective Inpatients,,1,,110,389,3.536363636,,128,509,3.9765625,
2017Q4,,S08000015,,A111H,,Elective Inpatients,,2,,155,433,2.793548387,,165,520,3.151515152,
2018Q1,,S08000015,,A111H,,Elective Inpatients,,2,,145,459,3.165517241,,165,613,3.715151515,
2018Q2,,S08000015,,A111H,,Elective Inpatients,,2,,181,486,2.685082873,,195,624,3.2,
2018Q3,,S08000015,,A111H,,Elective Inpatients,,2,,176,392,2.227272727,,195,510,2.615384615,
2018Q4,,S08000015,,A111H,,Elective Inpatients,,2,,160,656,4.1,,170,761,4.476470588,
2019Q1,,S08000015,,A111H,,Elective Inpatients,,2,,189,438,2.317460317,,205,590,2.87804878,
2019Q2,,S08000015,,A111H,,Elective Inpatients,,2,,180,373,2.072222222,,190,521,2.742105263,
2019Q3,,S08000015,,A111H,,Elective Inpatients,,2,,165,333,2.018181818,,185,484,2.616216216,
2019Q4,,S08000015,,A111H,,Elective Inpatients,,2,,163,409,2.509202454,,175,540,3.085714286,
2020Q1,,S08000015,,A111H,,Elective Inpatients,,2,,110,265,2.409090909,,125,644,5.152,
2020Q2,,S08000015,,A111H,,Elective Inpatients,,2,,30,115,3.833333333,,25,110,4.4,
2020Q3,,S08000015,,A111H,,Elective Inpatients,,2,,55,253,4.6,,60,404,6.733333333,
2020Q4,,S08000015,,A111H,,Elective Inpatients,,2,,45,200,4.444444444,,55,262,4.763636364,
2021Q1,,S08000015,,A111H,,Elective Inpatients,,2,,25,98,3.92,,30,141,4.7,
2021Q2,,S08000015,,A111H,,Elective Inpatients,,2,,50,86,1.72,,65,113,1.738461538,
2021Q3,,S08000015,,A111H,,Elective Inpatients,,2,,35,130,3.714285714,,45,177,3.933333333,
2021Q4,,S08000015,,A111H,,Elective Inpatients,,2,,25,47,1.88,,30,159,5.3,
2022Q1,,S08000015,,A111H,,Elective Inpatients,,2,,38,162,4.263157895,,45,186,4.133333333,
2022Q2,,S08000015,,A111H,,Elective Inpatients,,2,,54,155,2.87037037,,60,231,3.85,
2022Q3,,S08000015,,A111H,,Elective Inpatients,,2,,50,68,1.36,,60,101,1.683333333,
2022Q4,p,S08000015,,A111H,,Elective Inpatients,,2,,71,143,2.014084507,,80,169,2.1125,
